id,source,business_name,owner_name,email,phone,website,facebook,instagram,linkedin,twitter,address,city,state,zip_code,latitude,longitude,category,subcategories,rating,review_count,price_level,competitor_name,competitor_rating,competitor_review_count,competitor_website,pain_points,notes,scraped_at,last_updated
c2d0cdf3dd4e,google_places,Severyn Cool Services,,,(239) 248-4446,http://severyncoolservices.com/,,,,,"5790 Yahl St #101, Naples, FL 34109, USA",Naples,FL,34109,26.216698,-81.7770812,hvac,establishment|general_contractor|point_of_interest,5,973,,,0.0,0,,,,2026-03-23T13:07:37.763742,2026-03-23T13:07:37.763742
5141858d05c6,google_places,JP Brett & Sons Air Conditioning,,,(239) 566-3633,https://www.brettairconditioning.com/,,,,,"1955 Elsa St, Naples, FL 34109, USA",Naples,FL,34109,26.2197535,-81.7797212,hvac,establishment|general_contractor|point_of_interest,4.9,555,,,0.0,0,,,,2026-03-23T13:07:39.824669,2026-03-23T13:07:39.824669
576e8cd9c66a,google_places,"Family Air Conditioning and Heating, Inc.",,,(239) 354-4326,https://www.familyairconditioning.net/,,,,,"3899 Mannix Dr Unit 422, Naples, FL 34114, USA",Naples,FL,34114,26.1561663,-81.6784351,hvac,establishment|general_contractor|point_of_interest,5,644,,,0.0,0,,,,2026-03-23T13:07:41.777174,2026-03-23T13:07:41.777174
55157068123b,google_places,Cool Zone Inc,,,(239) 513-9199,https://coolzoneinc.com/?utm_source=gbp,,,,,"2000 J and C Blvd, Naples, FL 34109, USA",Naples,FL,34109,26.2234139,-81.7789291,hvac,establishment|general_contractor|point_of_interest,4.9,334,,,0.0,0,,,,2026-03-23T13:07:43.901174,2026-03-23T13:07:43.901174
32cd60e2f783,google_places,One Way Air,,,(239) 233-4356,https://onewayairfl.com/fort-myers/naples/,,,,,"1415 Panther Ln Suite 565, Naples, FL 34109, USA",Naples,FL,34109,26.2151668,-81.79041819999999,hvac,establishment|general_contractor|point_of_interest,5,38,,,0.0,0,,,,2026-03-23T13:07:45.776360,2026-03-23T13:07:45.776360
4ea816d3e0c0,google_places,One Hour Heating & Air Conditioning,,,(239) 237-3360,https://www.onehourheatandair.com/naples/?utm_source=GMB&utm_medium=organic&utm_campaign=gbp_main,,,,,"4380 Enterprise Ave, Naples, FL 34104, USA",Naples,FL,34104,26.1602683,-81.75606739999999,hvac,establishment|general_contractor|point_of_interest,4.8,3822,,,0.0,0,,,,2026-03-23T13:07:47.889064,2026-03-23T13:07:47.889064
802529800e38,google_places,Good Neighbors Air Conditioning,,,(239) 216-4759,https://goodneighborsair.com/,,,,,"10971 K Nine Drive #100, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3262175,-81.7712287,hvac,establishment|general_contractor|point_of_interest,5,147,,,0.0,0,,,,2026-03-23T13:07:49.838535,2026-03-23T13:07:49.838535
7686375107ae,google_places,26 Degree HVAC LLC,,,(239) 264-0324,http://www.26degreehvac.com/,,,,,"101 S Heathwood Dr, Marco Island, FL 34145, USA",Marco Island,FL,34145,25.9358784,-81.7155581,hvac,establishment|general_contractor|point_of_interest,5,91,,,0.0,0,,,,2026-03-23T13:07:51.828724,2026-03-23T13:07:51.828724
2911ba17b625,google_places,Pure Air Conditioning,,,(239) 597-7873,https://getpureair.com/,,,,,"2043 Trade Center Way, Naples, FL 34109, USA",Naples,FL,34109,26.2256369,-81.7765932,hvac,establishment|general_contractor|point_of_interest,4.9,1287,,,0.0,0,,,,2026-03-23T13:07:53.858919,2026-03-23T13:07:53.858919
7659a4eeada4,google_places,First Choice Cooling & Heating,,,(239) 398-6370,http://www.firstchoicecoolingswfl.com/,,,,,"1041 9th St SW, Naples, FL 34117, USA",Naples,FL,34117,26.210486,-81.6252356,hvac,establishment|general_contractor|point_of_interest,5,96,,,0.0,0,,,,2026-03-23T13:07:55.782093,2026-03-23T13:07:55.782093
62fd29737bf4,google_places,Wicked Cool Air Conditioning,,,(239) 256-2577,https://www.wickedcoolac.com/?utm_source=GMBlisting&utm_medium=organic,,,,,"1101 Sun Century Rd, Naples, FL 34110, USA",Naples,FL,34110,26.3058773,-81.7950297,hvac,establishment|general_contractor|point_of_interest,4.9,271,,,0.0,0,,,,2026-03-23T13:07:57.866550,2026-03-23T13:07:57.866550
767d01585bc3,google_places,Dolphin Cooling & Heating Inc,,,(239) 596-9044,https://www.dolphincooling.com/,,,,,"3506 Exchange Ave, Naples, FL 34104, USA",Naples,FL,34104,26.1584211,-81.7646573,hvac,establishment|general_contractor|point_of_interest,4.9,582,,,0.0,0,,,,2026-03-23T13:07:59.870342,2026-03-23T13:07:59.870342
