company,contact_name,contact_email,contact_phone,industry,city,state,website,employee_count,lead_source,icp_score,tier,discovered_at
Good Neighbors Air Conditioning,,,(239) 216-4759,hvac,Bonita Springs,FL,https://goodneighborsair.com/,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297169
Grande Aire Services Inc.,,,(239) 746-8240,hvac,Bonita Springs,FL,https://www.grandeaire.com/naples/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Bonita-Springs-FL,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297185
General Air and Plumbing - An Elevate Home Services Company,,,(239) 748-0609,hvac,Bonita Springs,FL,https://www.generalairplumbing.com/,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297187
"Comfort Control Air Conditioning Specialists, Inc.",,,(239) 404-4755,hvac,Bonita Springs,FL,https://www.airconditioningcomfort.com/,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297197
Dr. Kool Air Conditioning,,,(239) 510-9927,hvac,Bonita Springs,FL,https://drkoolac.com/?utm_source=GBP&utm_medium=GBP,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297202
Whaley's Air Conditioning Inc - An Elevate Home Services company,,,(239) 992-6453,hvac,Bonita Springs,FL,https://elevatemyhome.com/whaleys-air-conditioning,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297243
Chace Joseph Air Conditioning,,,(239) 293-1589,hvac,Bonita Springs,FL,http://chacejosephac.com/,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297254
Comfort Caddies,,,(239) 402-4099,hvac,Bonita Springs,FL,https://www.comfortcaddies.com/,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297268
Hvac Supply,,,(239) 390-8144,hvac,Bonita Springs,FL,http://www.hvacsupplyinc.com/,,existing_leads,83,Tier 2,2026-03-30T14:40:21.297276
Heating & Air Conditioning,,,(239) 251-1221,hvac,Bonita Springs,FL,,,existing_leads,78,Tier 2,2026-03-30T14:40:21.297252
Carden-239 HVAC Repair Cooling & Heating,,,(239) 221-0219,hvac,Bonita Springs,FL,,,existing_leads,78,Tier 2,2026-03-30T14:40:21.297284
26 Degree HVAC LLC,,,(239) 264-0324,hvac,Marco Island,FL,http://www.26degreehvac.com/,,existing_leads,75,Tier 2,2026-03-30T14:40:21.297171
Dor-Mar Marco Island Service,,,(239) 382-7077,hvac,Marco Island,FL,https://www.dormarhvac.com/locations/collier-county-fl/marco-island-fl/,,existing_leads,75,Tier 2,2026-03-30T14:40:21.297210
Southern Comfort Air,,,(239) 642-6642,hvac,Marco Island,FL,http://www.southerncomfortairllc.com/,,existing_leads,75,Tier 2,2026-03-30T14:40:21.297217
"Condee Cooling & Electric, Inc.",,,(239) 394-5121,hvac,Marco Island,FL,http://condee.com/,,existing_leads,75,Tier 2,2026-03-30T14:40:21.297245
"Accurate Comfort Services - Marco Island, FL",,,(239) 389-9600,hvac,Marco Island,FL,https://accuratecomfortservices.com/,,existing_leads,75,Tier 2,2026-03-30T14:40:21.297262
FosterCare Heating and Air,,,(239) 572-1693,hvac,Marco Island,FL,http://www.fostercareair.com/,,existing_leads,75,Tier 2,2026-03-30T14:40:21.297272
Bonita Chiropractic Center,,,(239) 992-5311,chiropractor,Bonita Springs,FL,https://bonitachiro.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297296
Bohn Chiropractic Clinic,,,(239) 947-3330,chiropractor,Bonita Springs,FL,http://www.bohnchiropractic.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297300
Gulfside Chiropractic Health Center,,,(239) 908-9762,chiropractor,Bonita Springs,FL,http://gulfsidechiropractic.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297305
Coastal Chiropractic Health Solutions,,,(239) 390-0607,chiropractor,Bonita Springs,FL,http://www.coastalchiropractichealth.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297322
Optimal Health Clinic,,,(239) 947-1177,chiropractor,Bonita Springs,FL,https://www.chiropractorbonitasprings.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297429
Corrective Spinal Care of Florida,,,(239) 558-5866,chiropractor,Bonita Springs,FL,https://www.flspinalcare.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297433
Bennett Chiropractic and Wellness Center,,,(239) 763-1288,chiropractor,Bonita Springs,FL,http://www.bennett-chiropractic.com/,,existing_leads,68,Tier 2,2026-03-30T14:40:21.297461
Marco Chiropractic & Medical Rehab Clinic,,,(239) 394-7221,chiropractor,Marco Island,FL,https://mcmrclinic.com/,,existing_leads,60,Tier 2,2026-03-30T14:40:21.297311
Where Spines Align Chiropractic,,,(239) 970-2211,chiropractor,Marco Island,FL,http://www.wsachiro.com/,,existing_leads,60,Tier 2,2026-03-30T14:40:21.297326
Gutierrez William P. Dc,,,(239) 642-0076,chiropractor,Marco Island,FL,http://drwilliamgutierrez.com/,,existing_leads,60,Tier 2,2026-03-30T14:40:21.297451
