id,source,business_name,owner_name,email,phone,website,facebook,instagram,linkedin,twitter,address,city,state,zip_code,latitude,longitude,category,subcategories,rating,review_count,price_level,pain_points,notes,scraped_at,last_updated
5dc710785424,google_places,Trulieve Bonita Springs Dispensary,,,(239) 317-6906,https://www.trulieve.com/dispensaries/florida/bonita-springs?utm_source=gmb&utm_medium=organic&utm_campaign=bonita-springs,,,,,"10347 Bonita Beach Rd SE, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3303616,-81.7811799,online store,establishment|point_of_interest|store,4,668,,,,2026-01-19T18:06:03.242760,2026-01-19T18:06:03.242760
47a1767220f9,"google_places,google_places",REBEL Convenience Stores,,,(239) 249-3023,http://www.rebelstores.com/,,,,,"2100 Goodlette-Frank Rd, Naples, FL 34102, USA",Naples,FL,34102,26.1712759,-81.7907914,online store,food|restaurant|meal_takeaway|establishment|convenience_store|gas_station|liquor_store|store|point_of_interest,3,7,,few_reviews|low_rating,,2026-01-19T18:06:05.321016,2026-01-19T19:45:45.535675
bf38b57094df,"google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places",Target,,,(239) 435-0051,https://www.target.com/sl/naples/899,,,,,"2324 Pine Ridge Rd, Naples, FL 34109, USA",Naples,FL,34109,26.2089713,-81.7713536,online store,electronics_store|department_store|home_goods_store|point_of_interest|shoe_store|establishment|furniture_store|store|clothing_store,4,385,$$,,,2026-01-19T18:06:07.240532,2026-01-20T08:31:41.354200
4a4da192d7f8,"google_places,google_places,google_places,google_places,google_places",Kohl's,,,(239) 514-0184,https://www.kohls.com/stores/fl/naples-1127.shtml?utm_source=google&utm_medium=organic&utm_campaign=local,,,,,"6381 Naples Blvd, Naples, FL 34109, USA",Naples,FL,34109,26.2215226,-81.7723614,online store,store|establishment|department_store|point_of_interest,4.4,1224,$,,,2026-01-19T18:06:09.243845,2026-01-20T09:27:03.795856
8aa05b16761e,"google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places",Ollie's Bargain Outlet,,,(239) 494-1982,https://ollies.com/,,,,,"8951 Bonita Beach Rd SE, Bonita Springs, FL 34135, USA",Bonita Springs,FL,34135,26.3276194,-81.80352669999999,online store,home_goods_store|book_store|hardware_store|establishment|furniture_store|store|point_of_interest,4.3,700,,,,2026-01-19T18:06:11.308314,2026-01-20T09:32:09.314828
8e3012ce10bd,google_places,Onette Discount Store,,,(239) 352-8222,,,,,,"4748 Golden Gate Pkwy # 2, Naples, FL 34116, USA",Naples,FL,34116,26.1817569,-81.7040224,online store,establishment|point_of_interest|store,4.3,58,,no_website,,2026-01-19T18:06:13.325152,2026-01-19T18:06:13.325152
793fcb0f3476,"google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places",Walmart Supercenter,,,(239) 417-1252,https://www.walmart.com/store/3417-naples-fl/?veh=seo_loc,,,,,"6650 Collier Blvd, Naples, FL 34114, USA",Naples,FL,34114,26.0570863,-81.6975535,online store,food|electronics_store|department_store|home_goods_store|clothing_store|bakery|hardware_store|establishment|furniture_store|grocery_or_supermarket|store|point_of_interest,4,3438,$,,,2026-01-19T18:06:15.304440,2026-01-20T09:25:13.194681
e821052f7245,"google_places,google_places,google_places,google_places,google_places,google_places",Walgreens,,,(239) 530-1356,https://www.walgreens.com/locator/walgreens-12780+tamiami+trl+e-naples-fl-34113/id=4524,,,,,"12780 Tamiami Trl E, Naples, FL 34113, USA",Naples,FL,34113,26.0628712,-81.7000948,online store,food|health|convenience_store|establishment|clothing_store|store|drugstore|point_of_interest,2.8,119,$$,low_rating,,2026-01-19T18:06:17.304415,2026-01-20T09:22:02.097805
4ecf604d5d34,"google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places,google_places",The Vitamin Shoppe,,,(239) 254-0834,https://locations.vitaminshoppe.com/fl/naples/vitamins-supplements-naples-fl-488.html?utm_source=gmb&utm_medium=local,,,,,"6434 Naples Blvd #108, Naples, FL 34109, USA",Naples,FL,34109,26.2184056,-81.7690361,online store,food|health|establishment|grocery_or_supermarket|store|point_of_interest,4.4,109,$,,,2026-01-19T18:06:19.250592,2026-01-20T11:03:38.662375
f3dc4f36ce61,"google_places,google_places,google_places,google_places,google_places,google_places,google_places",Walgreens,,,(239) 353-2484,https://www.walgreens.com/locator/walgreens-7301+radio+rd-naples-fl-34104/id=2542,,,,,"7301 Radio Rd, Naples, FL 34104, USA",Naples,FL,34104,26.156738,-81.7211258,online store,food|health|convenience_store|establishment|clothing_store|store|drugstore|point_of_interest,3.1,40,$$,low_rating,,2026-01-19T18:06:21.279815,2026-01-20T09:22:26.137504
981ae4808b3c,"google_places,google_places,google_places,google_places,google_places",Anthony's Ladies Apparel,,,(239) 676-7477,https://www.anthonysfla.com/pages/bonita-springs-store,,,,,"3300 Bonita Beach Rd SE APT 148, Bonita Springs, FL 34134, USA",Bonita Springs,FL,34134,26.3330602,-81.80884259999999,online store,store|establishment|point_of_interest|clothing_store,4.4,67,,,,2026-01-19T18:06:23.333559,2026-01-20T09:52:50.308842
2005ef5c0b66,google_places,St. Matthew's House Golden Gate Thrift Store,,,(239) 774-3315,http://www.stmatthewshousethrift.org/,,,,,"4945 Golden Gate Pkwy, Naples, FL 34116, USA",Naples,FL,34116,26.1819958,-81.70866250000002,online store,clothing_store|establishment|furniture_store|home_goods_store|point_of_interest|store,4.7,41,,,,2026-01-19T18:06:25.312653,2026-01-19T18:06:25.312653
0efcea14727c,google_places,"A1A LIQUOR: Liquor Store, Naples FL",,,(239) 353-0900,http://www.a1aliquor.com/,,,,,"12555 Collier Blvd # 3, Naples, FL 34116, USA",Naples,FL,34116,26.1986378,-81.68783379999999,online store,establishment|food|liquor_store|point_of_interest|store,4.4,195,,,,2026-01-19T18:06:27.268518,2026-01-19T18:06:27.268518
