industry,name,address,phone,website,rating,review_count,place_id
HVAC / Home Services,Best Home Services - Naples,"1455 Rail Head Blvd #1, Naples, FL 34110, USA",(239) 677-4312,https://getbest.com/service-area/naples/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*048*best-home-services-naples,4.8,7498,ChIJHRhCEpMe24gRm6k95pOjmRg
Restaurants / Hospitality,Caffè Milano,"800 5th Ave S, Naples, FL 34102, USA",(239) 692-8480,http://www.caffemilano.com/,4.7,4222,ChIJ_cuNiJ7h2ogRnprnukJeDi4
HVAC / Home Services,Conditioned Air Naples,"3786 Mercantile Ave, Naples, FL 34104, USA",(239) 643-2445,http://conditionedair.com/,4.8,3958,ChIJTQFCABTi2ogRZ0hxeljxqcE
HVAC / Home Services,One Hour Heating & Air Conditioning,"4380 Enterprise Ave, Naples, FL 34104, USA",(239) 237-3360,https://www.onehourheatandair.com/naples/?utm_source=GMB&utm_medium=organic&utm_campaign=gbp_main,4.8,3822,ChIJlWA4pWri2ogRTryfV_chgOc
Restaurants / Hospitality,The Dock at Crayton Cove,"845 12th Ave S, Naples, FL 34102, USA",(239) 263-9940,https://www.dockcraytoncove.com/,4.4,3634,ChIJlZS5uHbh2ogR6GyIlcJRmLU
Restaurants / Hospitality,The Boathouse On Naples Bay,"990 Broad Ave S, Naples, FL 34102, USA",(239) 643-2235,http://www.boathouseonnaplesbay.com/,4.1,2553,ChIJlZS5uHbh2ogRJYC27V-PqJw
Restaurants / Hospitality,Celebration Park Naples,"2880 Becca Ave, Naples, FL 34112, USA",(239) 316-7253,https://celebrationparknaples.com/,4.5,2542,ChIJf-ov_Q3j2ogRw6FBlKSdgn0
Restaurants / Hospitality,Riverwalk At Tin City,"1200 5th Ave S, Naples, FL 34102, USA",(239) 263-2734,http://www.riverwalktincity.com/,4.4,2282,ChIJweV72Zzh2ogRPUhBn6ZBDCY
Medical / Dental,Park Family and Cosmetic Dentistry,"690 Goodlette-Frank Rd, Naples, FL 34102, USA",(239) 206-1500,https://myparkdental.com/,4.9,1985,ChIJH5hDFpLh2ogR6SpPF1O7nlg
Restaurants / Hospitality,The 239 Naples,"9108 Strada Pl Ste 14110, Naples, FL 34108, USA",(239) 631-1902,http://the239naples.com/,4.7,1920,ChIJZabExZYf24gRbUDOfsRltNM
